,Artist Name,Song Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Blondie,Call Me,0.554,0.833,2.0,-6.667,0.0,0.0347,0.000646,0.0025,0.0737,0.773,142.673,audio_features,7HKxTNVlkHsfMLhigmhC0I,spotify:track:7HKxTNVlkHsfMLhigmhC0I,https://api.spotify.com/v1/tracks/7HKxTNVlkHsfMLhigmhC0I,https://api.spotify.com/v1/audio-analysis/7HKxTNVlkHsfMLhigmhC0I,212227.0,4.0
1,Olivia Newton-John,Magic,0.697,0.611,2.0,-5.997,1.0,0.0265,0.0178,8.92e-05,0.11,0.603,103.77,audio_features,56BSwBKWHYldQOgYLHiehs,spotify:track:56BSwBKWHYldQOgYLHiehs,https://api.spotify.com/v1/tracks/56BSwBKWHYldQOgYLHiehs,https://api.spotify.com/v1/audio-analysis/56BSwBKWHYldQOgYLHiehs,271667.0,4.0
2,Michael Jackson,Rock with You,0.808,0.535,1.0,-12.521,1.0,0.0353,0.179,9.91e-05,0.158,0.848,114.031,audio_features,7oOOI85fVQvVnK5ynNMdW7,spotify:track:7oOOI85fVQvVnK5ynNMdW7,https://api.spotify.com/v1/tracks/7oOOI85fVQvVnK5ynNMdW7,https://api.spotify.com/v1/audio-analysis/7oOOI85fVQvVnK5ynNMdW7,220627.0,4.0
3,Captain & Tennille,Do That to Me One More Time,0.728,0.524,7.0,-8.227,1.0,0.0255,0.563,0.000131,0.0913,0.51,90.262,audio_features,0m4jVVZrsv0bLkAr1uM6UG,spotify:track:0m4jVVZrsv0bLkAr1uM6UG,https://api.spotify.com/v1/tracks/0m4jVVZrsv0bLkAr1uM6UG,https://api.spotify.com/v1/audio-analysis/0m4jVVZrsv0bLkAr1uM6UG,256667.0,4.0
4,Queen,Crazy Little Thing Called Love,0.599,0.762,0.0,-6.887,1.0,0.0423,0.714,4.43e-06,0.35,0.715,76.961,audio_features,35ItUJlMtjOQW3SSiTCrrw,spotify:track:35ItUJlMtjOQW3SSiTCrrw,https://api.spotify.com/v1/tracks/35ItUJlMtjOQW3SSiTCrrw,https://api.spotify.com/v1/audio-analysis/35ItUJlMtjOQW3SSiTCrrw,163373.0,4.0
5,Paul McCartney,Coming Up,0.817,0.767,8.0,-7.194,1.0,0.0468,0.457,0.0723,0.0606,0.878,128.93,audio_features,4Ku6X72Q815qNd7ChuiDdD,spotify:track:4Ku6X72Q815qNd7ChuiDdD,https://api.spotify.com/v1/tracks/4Ku6X72Q815qNd7ChuiDdD,https://api.spotify.com/v1/audio-analysis/4Ku6X72Q815qNd7ChuiDdD,231880.0,4.0
6,Lipps Inc,Funkytown,0.907,0.564,0.0,-9.29,1.0,0.0568,0.000928,0.65,0.108,0.229,122.632,audio_features,0B5kY9i9bmP7554oU4jRoO,spotify:track:0B5kY9i9bmP7554oU4jRoO,https://api.spotify.com/v1/tracks/0B5kY9i9bmP7554oU4jRoO,https://api.spotify.com/v1/audio-analysis/0B5kY9i9bmP7554oU4jRoO,245413.0,4.0
7,Billy Joel,It's Still Rock and Roll to Me,0.752,0.684,0.0,-7.599,1.0,0.15,0.0994,0.0,0.0897,0.539,141.075,audio_features,64UioB4Nmwgn2f4cbIpAkl,spotify:track:64UioB4Nmwgn2f4cbIpAkl,https://api.spotify.com/v1/tracks/64UioB4Nmwgn2f4cbIpAkl,https://api.spotify.com/v1/audio-analysis/64UioB4Nmwgn2f4cbIpAkl,176440.0,4.0
8,Bette Midler,The Rose,0.347,0.228,0.0,-9.667,1.0,0.0296,0.901,0.0,0.38,0.184,133.574,audio_features,562JrM9b7jiu8LgzV62x3o,spotify:track:562JrM9b7jiu8LgzV62x3o,https://api.spotify.com/v1/tracks/562JrM9b7jiu8LgzV62x3o,https://api.spotify.com/v1/audio-analysis/562JrM9b7jiu8LgzV62x3o,221373.0,4.0
9,Rupert Holmes,Escape (The Piña Colada Song),0.836,0.509,0.0,-13.668,1.0,0.0548,0.467,4.1e-06,0.0436,0.949,138.714,audio_features,5IMtdHjJ1OtkxbGe4zfUxQ,spotify:track:5IMtdHjJ1OtkxbGe4zfUxQ,https://api.spotify.com/v1/tracks/5IMtdHjJ1OtkxbGe4zfUxQ,https://api.spotify.com/v1/audio-analysis/5IMtdHjJ1OtkxbGe4zfUxQ,276493.0,4.0
10,Gary Numan,Cars,0.545,0.578,2.0,-8.745,1.0,0.0406,0.0114,6.57e-05,0.0692,0.819,128.038,audio_features,4QQEzkxcONBthDLfzqIh9S,spotify:track:4QQEzkxcONBthDLfzqIh9S,https://api.spotify.com/v1/tracks/4QQEzkxcONBthDLfzqIh9S,https://api.spotify.com/v1/audio-analysis/4QQEzkxcONBthDLfzqIh9S,238907.0,4.0
11,Smokey Robinson,Cruisin,0.498,0.63,6.0,-5.808,0.0,0.0276,0.416,0.0,0.238,0.822,169.115,audio_features,2gliw3L0oa4w8LqaHploje,spotify:track:2gliw3L0oa4w8LqaHploje,https://api.spotify.com/v1/tracks/2gliw3L0oa4w8LqaHploje,https://api.spotify.com/v1/audio-analysis/2gliw3L0oa4w8LqaHploje,352920.0,4.0
12,The Spinners,"Working My Way Back to You/Forgive Me, Girl",0.837,0.703,9.0,-9.385,0.0,0.0415,0.415,2.73e-05,0.153,0.914,121.556,audio_features,1wouF9mtyiwZDYiq5YElaq,spotify:track:1wouF9mtyiwZDYiq5YElaq,https://api.spotify.com/v1/tracks/1wouF9mtyiwZDYiq5YElaq,https://api.spotify.com/v1/audio-analysis/1wouF9mtyiwZDYiq5YElaq,245480.0,4.0
13,Air Supply,Lost in Love,0.583,0.316,7.0,-19.292,1.0,0.0315,0.425,5.67e-05,0.11,0.436,114.362,audio_features,6MfVSA5iKBPHzo6RGARjL0,spotify:track:6MfVSA5iKBPHzo6RGARjL0,https://api.spotify.com/v1/tracks/6MfVSA5iKBPHzo6RGARjL0,https://api.spotify.com/v1/audio-analysis/6MfVSA5iKBPHzo6RGARjL0,233867.0,4.0
14,Elton John,Little Jeannie,0.616,0.444,10.0,-14.224,1.0,0.0276,0.461,0.000115,0.0847,0.763,143.805,audio_features,19Kf8FxBJ5a1Bb8uKCrIIe,spotify:track:19Kf8FxBJ5a1Bb8uKCrIIe,https://api.spotify.com/v1/tracks/19Kf8FxBJ5a1Bb8uKCrIIe,https://api.spotify.com/v1/audio-analysis/19Kf8FxBJ5a1Bb8uKCrIIe,313187.0,4.0
15,Christopher Cross,Ride Like the Wind,0.669,0.707,0.0,-13.66,0.0,0.0478,0.347,0.000716,0.0997,0.806,124.335,audio_features,7gUMShP1l20tC0xf17Zplk,spotify:track:7gUMShP1l20tC0xf17Zplk,https://api.spotify.com/v1/tracks/7gUMShP1l20tC0xf17Zplk,https://api.spotify.com/v1/audio-analysis/7gUMShP1l20tC0xf17Zplk,275507.0,4.0
16,Diana Ross,Upside Down,0.873,0.855,5.0,-8.559,0.0,0.0615,0.179,0.0285,0.0377,0.884,107.868,audio_features,3pbtBomO4Zt5gGiqsYeiBH,spotify:track:3pbtBomO4Zt5gGiqsYeiBH,https://api.spotify.com/v1/tracks/3pbtBomO4Zt5gGiqsYeiBH,https://api.spotify.com/v1/audio-analysis/3pbtBomO4Zt5gGiqsYeiBH,245600.0,4.0
17,KC and the Sunshine Band,Please Don't Go,0.482,0.615,6.0,-11.093,1.0,0.0398,0.00888,1.78e-06,0.0431,0.437,96.307,audio_features,6dw6BquK0Mv72p6HpusqKN,spotify:track:6dw6BquK0Mv72p6HpusqKN,https://api.spotify.com/v1/tracks/6dw6BquK0Mv72p6HpusqKN,https://api.spotify.com/v1/audio-analysis/6dw6BquK0Mv72p6HpusqKN,230533.0,4.0
18,Styx,Babe,0.267,0.204,2.0,-13.714,1.0,0.0317,0.527,0.0,0.0924,0.0903,169.486,audio_features,5W7YROOF6bFfBexY81LFjt,spotify:track:5W7YROOF6bFfBexY81LFjt,https://api.spotify.com/v1/tracks/5W7YROOF6bFfBexY81LFjt,https://api.spotify.com/v1/audio-analysis/5W7YROOF6bFfBexY81LFjt,265973.0,4.0
