,Artist Name,Song Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Percy Faith,Theme from A Summer Place,0.326,0.326,0.0,-15.144,1.0,0.0297,0.591,0.918,0.494,0.87,186.232,audio_features,6zwvB879PJSpTyFcg2wwnL,spotify:track:6zwvB879PJSpTyFcg2wwnL,https://api.spotify.com/v1/tracks/6zwvB879PJSpTyFcg2wwnL,https://api.spotify.com/v1/audio-analysis/6zwvB879PJSpTyFcg2wwnL,142693.0,3.0
1,Jim Reeves,He'll Have to Go,0.469,0.244,1.0,-15.702,1.0,0.0357,0.974,0.0162,0.845,0.577,88.271,audio_features,7dDE59NX0n466e705E8Itz,spotify:track:7dDE59NX0n466e705E8Itz,https://api.spotify.com/v1/tracks/7dDE59NX0n466e705E8Itz,https://api.spotify.com/v1/audio-analysis/7dDE59NX0n466e705E8Itz,134333.0,3.0
2,The Everly Brothers,Cathy's Clown,0.507,0.561,7.0,-10.472,1.0,0.0353,0.548,0.0,0.59,0.89,120.042,audio_features,27bw4i8LnECzVlbMZ4kFHw,spotify:track:27bw4i8LnECzVlbMZ4kFHw,https://api.spotify.com/v1/tracks/27bw4i8LnECzVlbMZ4kFHw,https://api.spotify.com/v1/audio-analysis/27bw4i8LnECzVlbMZ4kFHw,145933.0,4.0
3,Johnny Preston,Running Bear,0.76,0.468,5.0,-8.957,0.0,0.0482,0.775,2.36e-05,0.184,0.745,119.986,audio_features,1mE8QtaSFxEQnr3SgxmIRf,spotify:track:1mE8QtaSFxEQnr3SgxmIRf,https://api.spotify.com/v1/tracks/1mE8QtaSFxEQnr3SgxmIRf,https://api.spotify.com/v1/audio-analysis/1mE8QtaSFxEQnr3SgxmIRf,157960.0,4.0
4,Mark Dinning,Teen Angel,0.569,0.0638,0.0,-18.548,1.0,0.0458,0.936,0.0,0.122,0.282,101.521,audio_features,6kWR0zt2wWQL3Sjg5ojy9M,spotify:track:6kWR0zt2wWQL3Sjg5ojy9M,https://api.spotify.com/v1/tracks/6kWR0zt2wWQL3Sjg5ojy9M,https://api.spotify.com/v1/audio-analysis/6kWR0zt2wWQL3Sjg5ojy9M,159893.0,4.0
5,Elvis Presley,It's Now or Never,0.643,0.491,4.0,-9.312,1.0,0.0344,0.642,0.00972,0.286,0.753,126.399,audio_features,1XunTmhOcj3xwh4b8P3isX,spotify:track:1XunTmhOcj3xwh4b8P3isX,https://api.spotify.com/v1/tracks/1XunTmhOcj3xwh4b8P3isX,https://api.spotify.com/v1/audio-analysis/1XunTmhOcj3xwh4b8P3isX,194600.0,4.0
6,Jimmy Jones,Handy Man,0.477,0.781,10.0,-6.931,1.0,0.0654,0.4,0.0,0.331,0.75,144.976,audio_features,63l4KCU2ZpXodzDzuHtyu4,spotify:track:63l4KCU2ZpXodzDzuHtyu4,https://api.spotify.com/v1/tracks/63l4KCU2ZpXodzDzuHtyu4,https://api.spotify.com/v1/audio-analysis/63l4KCU2ZpXodzDzuHtyu4,124120.0,4.0
7,Elvis Presley,Stuck on You,0.647,0.513,7.0,-12.372,1.0,0.0421,0.758,8.64e-06,0.108,0.955,131.641,audio_features,39zODpVtRvghMyfNjZ3BVK,spotify:track:39zODpVtRvghMyfNjZ3BVK,https://api.spotify.com/v1/tracks/39zODpVtRvghMyfNjZ3BVK,https://api.spotify.com/v1/audio-analysis/39zODpVtRvghMyfNjZ3BVK,139640.0,4.0
8,Chubby Checker,The Twist,0.571,0.618,4.0,-5.682,1.0,0.0371,0.18,2.69e-06,0.178,0.852,156.892,audio_features,4YCnTYbq3oL1Lqpyxg33CU,spotify:track:4YCnTYbq3oL1Lqpyxg33CU,https://api.spotify.com/v1/tracks/4YCnTYbq3oL1Lqpyxg33CU,https://api.spotify.com/v1/audio-analysis/4YCnTYbq3oL1Lqpyxg33CU,155040.0,4.0
9,Connie Francis,Everybody's Somebody's Fool,0.584,0.737,1.0,-4.643,1.0,0.0306,0.745,1.93e-05,0.208,0.753,84.322,audio_features,1qC8zQRrdkZCwzQ5N4ECoD,spotify:track:1qC8zQRrdkZCwzQ5N4ECoD,https://api.spotify.com/v1/tracks/1qC8zQRrdkZCwzQ5N4ECoD,https://api.spotify.com/v1/audio-analysis/1qC8zQRrdkZCwzQ5N4ECoD,157880.0,4.0
